year,data_status_cd,deal_type_sort,deal_type_cd,deal_type,new_build_sort,new_build_cd,new_build,area_sort,area_cd,area_name,rooms_sort,rooms_cd,rooms_label,num_transactions,price_per_sqm_chf,median_price_chf,total_price_chf,area_level,rooms_num,has_price_data
2009,D,1,22,Kauf,1,J,Ja,41,41,Werd,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,1,1,1-Zimmer,,13509.0,295000.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,2,2,2-Zimmer,0.0,,,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,3,3,3-Zimmer,,6167.0,462500.0,2192000.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,4,4,4-Zimmer,,7943.0,699000.0,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,5,5,5-Zimmer,0.0,,,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,44,44,Hard,1,1,1-Zimmer,,5862.0,170000.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,44,44,Hard,2,2,2-Zimmer,,6383.0,300000.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,44,44,Hard,3,3,3-Zimmer,,5238.0,330000.0,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,44,44,Hard,4,4,4-Zimmer,,5000.0,440000.0,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,44,44,Hard,5,5,5-Zimmer,0.0,,,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,44,44,Hard,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,1,1,1-Zimmer,,17618.0,926090.0,,district,1,False
2009,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,2,2,2-Zimmer,7.0,10938.0,995000.0,6512826.0,district,2,True
2009,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,3,3,3-Zimmer,,10965.0,1170000.0,5180000.0,district,3,True
